colname	inferred_type	value	count	proportion
diabetes_type	character	Gestational diabetes | Not provided | Type I diabetes | Type II diabetes | Unspecified	7, 7798, 22, 110, 2429	0.000675, 0.752267, 0.002122, 0.010612, 0.234324
drinks_per_session	character	1 | 1-2 | 2-3 | 2-Jan | 3-4 | 3-Feb | 4+ | I don't drink | Not provided | Unspecified	788, 1251, 604, 3, 253, 1, 161, 759, 6289, 257	0.076018, 0.120683, 0.058267, 0.000289, 0.024407, 9.6e-05, 0.015532, 0.07322, 0.606695, 0.024793
drinking_water_source	character	Bottled | City | Filtered | Not provided | Not sure | Unspecified | Well	991, 4915, 3457, 159, 138, 42, 664	0.095601, 0.474146, 0.333494, 0.015339, 0.013313, 0.004052, 0.064056
types_of_plants	character	11 to 20 | 21 to 30 | 6 to 10 | Less than 5 | More than 30 | Not provided | Unspecified	2662, 1583, 1931, 587, 878, 2594, 131	0.256801, 0.152711, 0.186282, 0.056627, 0.0847, 0.250241, 0.012637
diet_type	character	Not provided | Omnivore | Omnivore but do not eat red meat | Unspecified | Vegan | Vegetarian | Vegetarian but eat seafood	194, 8186, 681, 68, 246, 448, 543	0.018715, 0.789697, 0.065696, 0.00656, 0.023731, 0.043218, 0.052383
fed_as_infant	character	A mixture of breast milk and formula | Not provided | Not sure | Primarily breast milk | Primarily infant formula | Unspecified	1281, 2372, 1046, 3663, 1941, 63	0.123577, 0.228825, 0.100907, 0.353367, 0.187247, 0.006078
level_of_education	character	Associate's degree | Bachelor's degree | Did not complete high school | Graduate or Professional degree | High School or GED equilivant | Not provided | Some college or technical school | Some graduate school or professional | Unspecified	208, 1973, 275, 3513, 333, 2537, 787, 583, 157	0.020066, 0.190334, 0.026529, 0.338896, 0.032124, 0.244742, 0.075921, 0.056242, 0.015146
race	character	African American | Asian or Pacific Islander | Caucasian | Hispanic | Not provided | Other | Unspecified	94, 501, 9000, 259, 152, 318, 42	0.009068, 0.048331, 0.868223, 0.024986, 0.014663, 0.030677, 0.004052
sex	character	female | male | Not provided | other | unspecified	5397, 4634, 293, 9, 33	0.520644, 0.447038, 0.028265, 0.000868, 0.003183
sleep_duration	character	5-6 hours | 6-7 hours | 7-8 hours | 8 or more hours | Less than 5 hours | Not provided | Unspecified	1013, 3185, 4058, 1757, 129, 176, 48	0.097723, 0.307254, 0.391472, 0.169496, 0.012445, 0.016979, 0.004631
weight_change	character	Decreased more than 10 pounds | Increased more than 10 pounds | Not provided | Remained stable | Unspecified	907, 807, 267, 8319, 66	0.087498, 0.077851, 0.025757, 0.802527, 0.006367
country_residence	character	Argentina | Australia | Austria | Bahamas | Belgium | Brazil | Canada | China | Colombia | Croatia | Czech Republic | Denmark | Estonia | Finland | France | Georgia | Germany | Greece | Guernsey | Hong Kong | Iceland | India | Ireland | Isle of Man | Israel | Italy | Japan | Jersey | Korea, Republic of | Malta | Mexico | Morocco | Netherlands | New Zealand | Norway | Not provided | Peru | Portugal | Puerto Rico | Saudi Arabia | Serbia | Singapore | Slovakia | Spain | Sri Lanka | Sudan | Sweden | Switzerland | Tanzania, United Republic of | Thailand | Turkey | United Arab Emirates | United Kingdom | United States | United States Minor Outlying Islands | Unspecified | Uruguay	1, 111, 7, 1, 18, 4, 80, 10, 1, 2, 2, 6, 1, 2, 21, 1, 33, 1, 6, 5, 1, 12, 36, 5, 2, 13, 10, 5, 3, 1, 3, 8, 13, 7, 6, 4798, 1, 2, 1, 1, 4, 6, 4, 11, 1, 1, 29, 55, 2, 1, 1, 6, 2074, 2811, 1, 117, 1	9.6e-05, 0.010708, 0.000675, 9.6e-05, 0.001736, 0.000386, 0.007718, 0.000965, 9.6e-05, 0.000193, 0.000193, 0.000579, 9.6e-05, 0.000193, 0.002026, 9.6e-05, 0.003183, 9.6e-05, 0.000579, 0.000482, 9.6e-05, 0.001158, 0.003473, 0.000482, 0.000193, 0.001254, 0.000965, 0.000482, 0.000289, 9.6e-05, 0.000289, 0.000772, 0.001254, 0.000675, 0.000579, 0.462859, 9.6e-05, 0.000193, 9.6e-05, 9.6e-05, 0.000386, 0.000579, 0.000386, 0.001061, 9.6e-05, 9.6e-05, 0.002798, 0.005306, 0.000193, 9.6e-05, 9.6e-05, 0.000579, 0.200077, 0.271175, 9.6e-05, 0.011287, 9.6e-05
subset_healthy	character	FALSE | TRUE	6048, 4318	0.583446, 0.416554
age_years	numeric	(0, 45.53, 101)	NA	standard deviation: 17.76
age_corrected	numeric	(1, 46.08, 101)	NA	standard deviation: 17.18
bmi	numeric	(0, 1132.93, 1130000)	NA	standard deviation: 22450.34
weight_kg	numeric	(0, 69.51, 894)	NA	standard deviation: 23.7
