Model,CV_R2_mean,CV_R2_sd
Baseline: RF (X→y),0.05968624938947529,0.03593271465375415
Baseline: Ridge (X→y),0.05386951965421769,0.07071828766329011
Proxy: RF (PĈ→y),-0.0074756226642653575,0.04558017951931138
Proxy: Ridge (PĈ→y),-0.014588517480988373,0.031122443968743183
