sample_name,PC1_hat,PC2_hat,PC3_hat,PC4_hat,PC5_hat,PC6_hat,PC7_hat,PC8_hat,PC9_hat,PC10_hat
1094261,-0.609133004301432,-0.8416833659920367,0.38454214797838593,0.6603307148009656,1.0365904459047584,0.5542807607372023,-0.4615263479971361,0.572043498957731,0.5801086927315527,-0.01023888122809212
1808036,1.1415621023817326,-0.7111572426434853,-0.7537759815599533,-0.24831848150046165,0.6747776665627627,0.0714989853119078,-0.19446500324857985,0.11904267867439099,-0.022762860627807323,-0.10115233773920419
3009959,0.0740811922636743,-0.9979230549197206,-1.1856836299316542,0.03751987289731907,0.47380300306865875,-0.010835939102528662,-0.3855307065729378,0.5267375244856078,0.1485271931203029,0.13855198777518601
2440813,-1.2395774715625973,-0.6830711877466478,0.04179684076154381,0.6293449354768262,0.4836233386692324,0.3364637536416028,-0.21744256861828112,0.6505399562703834,0.8707843217615518,0.03162465583240026
2666944,-1.425392239109408,-1.193872316480556,0.03517884527439937,0.1692386885294642,0.38000621359807335,0.0778583861305393,-0.21408074172495425,0.42710068482001834,0.2118385461597471,0.025513834324337504
3000691,0.3260889217878812,-0.19512105638172297,-0.40962604438169226,-0.06184335577764622,0.7111195674053974,-0.5915512812174646,0.08104995840479394,0.19172452711607382,0.5569653665895338,0.42635855006135936
4256488,-0.16592790684124553,-0.3940246442245699,-1.003286067933982,0.17815140923372622,0.5299644615228135,-0.31470157993635667,-0.17541197048403112,0.6423122658032835,0.9674687679282674,0.4926640090172154
4620850,-0.8786159985481118,0.4276669742009423,-0.34417259639813264,0.3921486595476904,1.0618066425029844,0.3936774129108342,-0.3204924343866602,0.5265969756573592,0.32527623905930136,0.09542777467350964
5291497,0.03781875271536243,-0.846850054271803,-0.1944834210189253,-0.07638019567244146,0.20537695456020688,0.12677867797025796,-0.26665138997882737,0.675701090818641,0.43875037929589494,0.004231276899397812
4077241,0.266203260302124,-0.6383012483224291,-1.2592645994734526,0.07300086330414793,0.8090757426271395,0.03163376377929288,-0.07392654932786742,0.6021229291920771,0.8039974508358532,0.35921337732783964
5704887,-0.3413620666265123,0.3341301003158086,-0.8158237654138804,0.322872271558544,0.816940575180809,0.1502566185133682,-0.24582037211727362,0.7644683942370896,0.6389317438079246,0.3347621473410199
1305207,-1.3895712340588686,-0.3546151404653887,-1.044760693387057,0.12753864649036817,1.311213389985563,-0.06646013632267636,-0.23837586521781007,0.5386122749519399,0.7494001861024563,-0.0814732132972071
2456037,0.11958717980557389,-0.4334656930116754,-0.06127960156648633,0.21587664185743055,0.38192984041038547,0.31055207573599525,-0.3811891357192996,0.09691034580233665,0.3791838345330268,0.3169438857207083
3529654,0.2677442960148039,-1.646789382096762,-0.10972812973266549,0.1921351032156394,0.51489170801705,0.7364938634278337,-0.17178852297371083,0.0020822974228792562,-0.2216854025146213,-0.12986803127950025
5703358,-0.024557228956775437,-0.264838516811836,0.3030229833278038,0.004372648866976931,0.49855367083159063,0.22260572001523962,-0.09363671772446139,0.6055214639907954,0.6946388917257422,0.28158887079768746
2206386,0.20942363813235565,-1.1828137732447621,-0.16731553537765145,0.5015427327672537,0.37869434952793896,0.33752674236177255,-0.1720663621619749,0.2953132283909118,0.34486427451239465,0.022880992432881542
2697637,-1.0935603003326253,-0.35581882458603176,-1.3635488190650689,0.4603083055033063,1.175936210902966,-0.08348055134456081,-0.398592015011468,0.7687546092371139,0.28233852416634614,0.021580062738296015
3363218,-0.5277487501668707,-0.5812833342611071,0.15510556102733883,0.37764671054155435,0.7514547378702595,0.44575861290738705,-0.19398062799248567,0.48168349501426994,0.6539450479888447,0.2436570308677914
5073834,0.15491462715693496,-0.6981953665359396,0.2400976742419126,0.24197684025740174,0.7113387069300118,0.6713465662722878,-0.21618355797871844,0.10024983962418904,0.3682337040367385,-0.09402938499551731
5894916,0.7372591406567431,-0.9520282210435943,-1.3807246076112427,0.3281007690858856,1.0865929823219094,-0.2067882605595473,-0.4069499951413498,0.4583208656029631,0.5274049251850486,-0.027643070590307274
2380236,-0.324287274430073,-0.3828775083644954,-1.3212498215315347,0.4698367019673089,1.3159136979909185,-0.44747309655661205,-0.1364070320923685,0.6524484419244657,0.7448718887007427,-0.04175764961139274
2898670,0.7134602689135839,-0.6657531938440255,-0.5297416636253786,0.12485087558779166,0.691068230109135,0.041959933654622694,-0.1029341707950215,0.445616094641135,0.49834819900449806,0.16847244878286743
5849001,-0.2874361331655394,-0.3256823750646507,-1.7952620932147523,0.2664165338744679,1.2657233790562719,-0.01592064984809988,-0.4272653102173079,0.8830413194012952,0.6727670662705667,0.045280907177664
1717184,-1.792419911977806,-0.34166954922789566,-0.43598800447045694,0.9652400814113916,0.9907579585768597,0.27790652079492195,-0.48842586295265356,0.6700723409007829,0.40491302542686797,0.12017525111104033
5182607,-1.0227536024266877,-0.26108786298494757,-1.6153141182359234,0.10556206011740867,0.44320417912869414,-0.3924355620083858,-0.30623790639370824,0.5512694656420846,-0.11076441111371306,0.180453088763829
5329657,-0.3083391905725986,-1.370678544876688,0.2683177818701087,0.6999983805507917,0.9754350136376408,0.5581117681680066,-0.19705790168642046,0.5737530807941885,0.8516395984063498,0.24730932252034032
1062665,0.6782820767239047,0.30945597794534035,-1.2242820912918757,0.028585972213834805,0.9005156445447322,-0.04092979129336059,-0.3933130689343492,0.6500763734302484,0.46166273313425327,-0.02222433009036272
1098272,-1.2270647854008614,-0.3308986086088712,-0.3138933285190763,0.3411271689356062,1.1304124058455276,0.07901102509023852,-0.30622633027005713,0.7356311119598296,0.6622238163302204,0.13265221421520415
1238216,0.007565163725946631,-1.0589238852517089,0.22637526012099068,0.8073011343535914,1.127741511437378,0.11481773772661291,-0.17056971543140612,0.37782773631574634,0.674795559038035,0.16573884163938127
1399159,-0.6343746443141743,-1.0586002448387766,1.0563474398039747,0.6000298125329908,0.3299280269136682,0.44170720402868163,-0.15958700846385157,0.13090856439613666,0.423476196740905,0.20158530028222035
2004841,0.13977968527313125,-0.6313320260374427,-0.5248943373880444,-0.13662453113182946,0.7427584380793458,-0.16763247264480335,-0.2602474122971402,0.7085303434046811,0.28400256413550545,0.21958974202885503
2477070,-0.6503004254691701,-0.9631561452937154,0.4986303733499553,0.5455294399495397,1.1562020481701023,0.3872270516762832,-0.2609908033630052,0.5520447618659908,0.6688744811833882,0.11894254717927613
2242370,-0.6074713709779287,-0.2928390216714204,-1.1078200866462273,0.6999146795420056,0.7112553830353121,-0.1388084150820497,-0.16528078013310504,0.9025311723650811,0.7682501241399586,0.0752518506732772
1454718,-1.4342873075884541,-0.06231155304302927,-0.3549020853053322,0.28481408700261296,1.2712023578030416,0.22095720700347618,-0.42668052736009315,0.6141664061060231,0.4313778311835714,-0.028023467904264705
5197910,-0.44059754390649286,-0.6876312740683921,-0.11224492225180988,0.18416657655450516,0.55783470043216,0.192115507144417,-0.18375466519907369,0.5272245330508358,0.5949728988185786,0.13500129583366033
5882131,-0.3017085218682433,-0.853000366038043,0.38485008869635207,0.8201420560637751,0.7155449654021275,0.29794063122139364,-0.12391214993098303,0.2808111006929722,0.24840207876723183,0.06173533368955175
1324481,0.5729941865692502,-1.0299886348154887,0.21132085418769733,-0.0019318703166764316,0.2215570251319484,0.6018999226486655,-0.20537282463217424,0.3247924884830786,0.2555164005143314,-0.02657732737190435
1711931,0.1634883598750919,-1.0294063276405936,-0.6610352099845097,0.17172995899780455,0.35483994061747,0.11310983339398369,-0.011043311548826958,0.10745619771799705,0.3606098012016137,0.23561444340938653
